date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:02:45	27771/27771	---M-Z	200	added ('OK')	text/html	etag:W/%225ca51daf-6c7b%22	https://tnb3000.github.io/cion-site/dist/crew-database.html	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/crew-database.html	(from )
07:02:46	28671/28671	---M-Z	200	added ('OK')	text/html	etag:W/%225ca51daf-6fff%22	https://tnb3000.github.io/cion-site/dist/blog.html	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/blog.html	(from )
07:02:47	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d1070-239b%22	https://tnb3000.github.io/robots.txt		(from )
07:02:48	836/836	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ca51daf-344%22	https://tnb3000.github.io/cion-site/dist/js/site.min.js	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/js/site.min.js	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:49	47721/47721	---M-Z	200	added ('OK')	text/css	etag:W/%225ca51daf-ba69%22	https://tnb3000.github.io/cion-site/dist/css/main.css	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/css/main.css	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:50	10170/10170	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ca51daf-27ba%22	https://tnb3000.github.io/cion-site/dist/assets/img/icon-clipboard.svg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/icon-clipboard.svg	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:51	27649/27649	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ca51daf-6c01%22	https://tnb3000.github.io/cion-site/dist/assets/svg/sprite.svg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/svg/sprite.svg	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:52	1796/1796	---M--	200	added ('OK')	image/png	etag:%225ca51daf-704%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-canada.png	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/logo-canada.png	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:53	2235/2235	---M--	200	added ('OK')	image/png	etag:%225ca51daf-8bb%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-factor.png	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/logo-factor.png	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:54	1949/1949	---M--	200	added ('OK')	image/png	etag:%225ca51daf-79d%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-fednor.png	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/logo-fednor.png	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:55	2295/2295	---M--	200	added ('OK')	image/png	etag:%225ca51daf-8f7%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-greater-sudbury.png	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/logo-greater-sudbury.png	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:56	2930/2930	---M--	200	added ('OK')	image/png	etag:%225ca51daf-b72%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-sudbury.png	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/logo-sudbury.png	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:57	1914/1914	---M--	200	added ('OK')	image/png	etag:%225ca51daf-77a%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-nohfc.png	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/logo-nohfc.png	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:58	2403/2403	---M--	200	added ('OK')	image/png	etag:%225ca51daf-963%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-oac.png	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/logo-oac.png	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:02:59	2261/2261	---M--	200	added ('OK')	image/png	etag:%225ca51daf-8d5%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-ontario-creates.png	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/logo-ontario-creates.png	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:03:00	2873/2873	---M--	200	added ('OK')	image/png	etag:%225ca51daf-b39%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-canada-sponsor.png	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/logo-canada-sponsor.png	(from https://tnb3000.github.io/cion-site/dist/crew-database.html)
07:03:02	85439/85439	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-14dbf%22	https://tnb3000.github.io/cion-site/dist/assets/img/molly-johnson.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/molly-johnson.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:03	56878/56878	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-de2e%22	https://tnb3000.github.io/cion-site/dist/assets/img/molly-johnson-blog.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/molly-johnson-blog.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:04	32077/32077	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-7d4d%22	https://tnb3000.github.io/cion-site/dist/assets/img/casper-skulls.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/casper-skulls.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:04	18962/18962	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-4a12%22	https://tnb3000.github.io/cion-site/dist/assets/img/tea-with-lincoln.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/tea-with-lincoln.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:05	64130/64130	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-fa82%22	https://tnb3000.github.io/cion-site/dist/assets/img/blog-grid1.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/blog-grid1.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:07	50993/50993	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-c731%22	https://tnb3000.github.io/cion-site/dist/assets/img/blog-grid2.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/blog-grid2.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:08	51386/51386	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-c8ba%22	https://tnb3000.github.io/cion-site/dist/assets/img/blog-grid3.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/blog-grid3.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:09	66046/66046	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-101fe%22	https://tnb3000.github.io/cion-site/dist/assets/img/blog-grid4.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/blog-grid4.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:10	95550/95550	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-1753e%22	https://tnb3000.github.io/cion-site/dist/assets/img/blog-grid5.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/blog-grid5.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:11	63415/63415	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-f7b7%22	https://tnb3000.github.io/cion-site/dist/assets/img/blog-grid6.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/blog-grid6.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:12	63099/63099	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-f67b%22	https://tnb3000.github.io/cion-site/dist/assets/img/blog-grid7.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/blog-grid7.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:13	38137/38137	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-94f9%22	https://tnb3000.github.io/cion-site/dist/assets/img/blog-grid8.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/blog-grid8.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
07:03:19	130464/130464	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-1fda0%22	https://tnb3000.github.io/cion-site/dist/assets/img/bg-crewdatabase.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/bg-crewdatabase.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
07:03:19	203766/203766	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-31bf6%22	https://tnb3000.github.io/cion-site/dist/assets/img/highway.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/highway.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
07:03:22	439492/439492	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-6b4c4%22	https://tnb3000.github.io/cion-site/dist/assets/img/filming.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/filming.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
07:03:31	478862/478862	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-74e8e%22	https://tnb3000.github.io/cion-site/dist/assets/img/bg-musicians.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/bg-musicians.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
07:03:31	376932/376932	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-5c064%22	https://tnb3000.github.io/cion-site/dist/assets/img/bg-northern-music.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/bg-northern-music.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
07:03:36	220482/220482	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-35d42%22	https://tnb3000.github.io/cion-site/dist/assets/img/studio.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/studio.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
07:03:38	1316592/1316592	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-1416f0%22	https://tnb3000.github.io/cion-site/dist/assets/img/crew.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/crew.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
07:03:38	926907/926907	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-e24bb%22	https://tnb3000.github.io/cion-site/dist/assets/img/bg-forest.jpg	/Users/emanuel/websites/Cion3/tnb3000.github.io/cion-site/dist/assets/img/bg-forest.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
