date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:48:51	2930/2930	---M--	200	added ('OK')	image/png	etag:%225ca51daf-b72%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-sudbury.png	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/logo-sudbury.png	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:52	1914/1914	---M--	200	added ('OK')	image/png	etag:%225ca51daf-77a%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-nohfc.png	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/logo-nohfc.png	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:53	2403/2403	---M--	200	added ('OK')	image/png	etag:%225ca51daf-963%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-oac.png	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/logo-oac.png	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:54	2261/2261	---M--	200	added ('OK')	image/png	etag:%225ca51daf-8d5%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-ontario-creates.png	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/logo-ontario-creates.png	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:55	2873/2873	---M--	200	added ('OK')	image/png	etag:%225ca51daf-b39%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-canada-sponsor.png	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/logo-canada-sponsor.png	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:49:01	203766/203766	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-31bf6%22	https://tnb3000.github.io/cion-site/dist/assets/img/highway.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/highway.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
06:49:01	130464/130464	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-1fda0%22	https://tnb3000.github.io/cion-site/dist/assets/img/bg-crewdatabase.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/bg-crewdatabase.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
06:49:02	439492/439492	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-6b4c4%22	https://tnb3000.github.io/cion-site/dist/assets/img/filming.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/filming.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
06:49:10	376932/376932	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-5c064%22	https://tnb3000.github.io/cion-site/dist/assets/img/bg-northern-music.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/bg-northern-music.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
06:49:10	478862/478862	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-74e8e%22	https://tnb3000.github.io/cion-site/dist/assets/img/bg-musicians.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/bg-musicians.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
06:49:11	1316592/1316592	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-1416f0%22	https://tnb3000.github.io/cion-site/dist/assets/img/crew.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/crew.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
06:49:12	926907/926907	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-e24bb%22	https://tnb3000.github.io/cion-site/dist/assets/img/bg-forest.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/bg-forest.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
